description						type								st_astext
Garage							GARAGE								POLYGON((-66.083074 18.389347,-66.081454 18.389704,-66.080853 18.389388,-66.080746 18.389123,-66.080328 18.388961,-66.079523 18.388533,-66.07918 18.388268,-66.079351 18.387922,-66.080725 18.387494,-66.081068 18.387311,-66.081111 18.386833,-66.081883 18.387118,-66.082795 18.387556,-66.083074 18.389347))
30								ROUTE								POLYGON((-66.101673 18.390233,-66.1017 18.390584,-66.101689 18.390747,-66.10156 18.390758,-66.100938 18.390752,-66.100873 18.391496,-66.102724 18.391516,-66.104741 18.391577,-66.104929 18.391735,-66.105144 18.392274,-66.105535 18.393262,-66.103207 18.394041,-66.102086 18.394392,-66.10149 18.394799,-66.100916 18.395339,-66.100385 18.395939,-66.099935 18.396408,-66.099323 18.397105,-66.098824 18.397685,-66.098282 18.3982,-66.097574 18.39881,-66.096974 18.399248,-66.096265 18.399701,-66.095112 18.400332,-66.094211 18.400745,-66.092408 18.401539,-66.090327 18.402241,-66.090574 18.402867,-66.090756 18.403361,-66.091207 18.403722,-66.092076 18.404313,-66.092596 18.404669,-66.093181 18.405102,-66.093583 18.405697,-66.094018 18.406527,-66.09434 18.406909,-66.094833 18.40726,-66.095396 18.407687,-66.095756 18.407978,-66.096153 18.408507,-66.096416 18.409189,-66.096748 18.409841,-66.097252 18.410349,-66.097869 18.410869,-66.098518 18.411398,-66.098905 18.411714,-66.099114 18.412538,-66.099736 18.412335,-66.101667 18.411683,-66.102483 18.411378,-66.103169 18.411154,-66.103792 18.410991,-66.104393 18.410889,-66.104285 18.410339,-66.104124 18.4098,-66.103931 18.409342,-66.103856 18.409077,-66.104371 18.408894,-66.104789 18.40867,-66.105122 18.408415,-66.10538 18.408151,-66.105594 18.407703,-66.105712 18.407285,-66.105648 18.406939,-66.105616 18.406675,-66.10554 18.40643,-66.105465 18.406176,-66.105401 18.405921,-66.105455 18.405616,-66.105594 18.405239,-66.105691 18.404913,-66.105991 18.404689,-66.106495 18.404445,-66.106967 18.404252,-66.107547 18.404099,-66.10804 18.404231,-66.108566 18.404354,-66.109199 18.404404,-66.10922 18.403448,-66.10921 18.402246,-66.109178 18.401503,-66.109092 18.400699,-66.109027 18.400271,-66.108995 18.399803,-66.108899 18.399365,-66.108673 18.398765,-66.108351 18.398286,-66.107965 18.397838,-66.107686 18.397523,-66.107493 18.397278,-66.107193 18.396922,-66.106903 18.396616,-66.106624 18.396107,-66.106474 18.395558,-66.106238 18.394927,-66.106055 18.394265,-66.106002 18.393664,-66.105959 18.393277,-66.105766 18.392778,-66.105573 18.3923,-66.105262 18.391821,-66.105036 18.391485,-66.104382 18.391343,-66.10376 18.391333,-66.103127 18.391292,-66.102805 18.391292,-66.102805 18.391058,-66.10332 18.390539,-66.103523 18.390243,-66.103556 18.390075,-66.102542 18.390035,-66.101673 18.390045,-66.101673 18.390233))
49								ROUTE								POLYGON((-66.075156 18.391216,-66.075264 18.391689,-66.074759 18.39285,-66.073687 18.392799,-66.073161 18.393053,-66.072657 18.393481,-66.071702 18.394988,-66.071476 18.396576,-66.071702 18.397278,-66.072013 18.397828,-66.072152 18.397981,-66.071691 18.398978,-66.069953 18.399345,-66.068236 18.399569,-66.067067 18.399691,-66.067507 18.398673,-66.068011 18.39624,-66.068655 18.396199,-66.06962 18.396097,-66.069502 18.394031,-66.068644 18.394224,-66.068161 18.394367,-66.067936 18.394753,-66.06785 18.395201,-66.067303 18.398418,-66.066359 18.400057,-66.067829 18.400027,-66.070007 18.399722,-66.071251 18.39964,-66.071959 18.399742,-66.072978 18.398194,-66.074717 18.397655,-66.075232 18.397278,-66.075596 18.396708,-66.075586 18.393746,-66.075221 18.393074,-66.075661 18.392137,-66.07551 18.390803,-66.075017 18.390684,-66.074883 18.390511,-66.074464 18.39059,-66.074577 18.390997,-66.074652 18.391328,-66.075156 18.391216))
91								ROUTE								POLYGON((-66.154367 18.400399,-66.154764 18.40134,-66.153118 18.401147,-66.148805 18.400495,-66.147517 18.400139,-66.145119 18.398408,-66.144261 18.397482,-66.1441 18.395517,-66.143842 18.394173,-66.142469 18.392381,-66.141611 18.390528,-66.141568 18.389409,-66.142169 18.386507,-66.144593 18.386283,-66.145527 18.385652,-66.143403 18.383249,-66.142973 18.382709,-66.143424 18.3805,-66.143993 18.377435,-66.145977 18.377283,-66.149325 18.375073,-66.156556 18.36988,-66.159238 18.367498,-66.162114 18.366072,-66.161706 18.364891,-66.161706 18.364138,-66.162468 18.362457,-66.163809 18.359779,-66.166491 18.356297,-66.166255 18.355666,-66.164002 18.355767,-66.16162 18.355706,-66.160268 18.354545,-66.157243 18.354036,-66.155784 18.356521,-66.154732 18.357763,-66.153767 18.357539,-66.152586 18.357193,-66.149454 18.354301,-66.14778 18.351307,-66.147179 18.35149,-66.147919 18.353008,-66.148681 18.354566,-66.152082 18.357641,-66.153488 18.358211,-66.154968 18.358659,-66.157672 18.355421,-66.157876 18.354892,-66.159893 18.355309,-66.161073 18.356348,-66.165236 18.356562,-66.16338 18.358751,-66.162639 18.360014,-66.161094 18.364127,-66.16103 18.365614,-66.158798 18.366571,-66.154829 18.370227,-66.150419 18.373352,-66.145924 18.376631,-66.142855 18.376896,-66.141579 18.377089,-66.140699 18.377659,-66.14028 18.378474,-66.140216 18.380541,-66.140216 18.382272,-66.139111 18.382363,-66.139132 18.383249,-66.140795 18.383453,-66.140924 18.384206,-66.142008 18.384359,-66.141611 18.386578,-66.140935 18.390019,-66.140978 18.390997,-66.141804 18.392392,-66.143199 18.394845,-66.143306 18.396769,-66.143531 18.398021,-66.146374 18.400404,-66.148885 18.401086,-66.152833 18.401697,-66.154893 18.402032,-66.156041 18.4019,-66.155864 18.400225,-66.154367 18.400399))
41								ROUTE								POLYGON((-65.991364 18.421364,-65.995554 18.420376,-65.997083 18.419536,-65.999068 18.4183,-65.999711 18.418025,-66.004469 18.416722,-66.005102 18.416457,-66.00683 18.414681,-66.007876 18.413317,-66.009925 18.41066,-66.007286 18.408797,-66.00543 18.407224,-66.002833 18.405305,-66.003729 18.404226,-66.008203 18.404527,-66.011148 18.40473,-66.011229 18.406593,-66.0097 18.406588,-66.008702 18.407698,-66.00809 18.408548,-66.012715 18.411968,-66.013144 18.412355,-66.020321 18.412844,-66.020461 18.410614,-66.020354 18.408588,-66.019753 18.406776,-66.027553 18.406522,-66.027499 18.404842,-66.019066 18.405066,-66.018851 18.404231,-66.018294 18.401126,-66.017864 18.398571,-66.017647 18.396604,-66.021126 18.396566,-66.024076 18.396189,-66.024248 18.396769,-66.031115 18.397268,-66.031157 18.394417,-66.037273 18.394275,-66.043796 18.394906,-66.043753 18.401625,-66.044118 18.404903,-66.044397 18.408263,-66.044311 18.409606,-66.043903 18.411378,-66.04989 18.412436,-66.050738 18.412009,-66.053946 18.411836,-66.05284 18.408904,-66.052465 18.408029,-66.057003 18.407866,-66.056993 18.410787,-66.054085 18.412263,-66.051135 18.412436,-66.05019 18.412874,-66.049053 18.412721,-66.043066 18.411632,-66.04356 18.409759,-66.043528 18.407438,-66.043099 18.40247,-66.043131 18.398622,-66.040921 18.398571,-66.040116 18.398775,-66.032209 18.398011,-66.024184 18.397217,-66.023626 18.3968,-66.02118 18.397064,-66.018111 18.397207,-66.019324 18.404689,-66.02796 18.404506,-66.027928 18.406878,-66.020364 18.407173,-66.020826 18.408578,-66.020976 18.410838,-66.020568 18.413424,-66.013197 18.412874,-66.0125 18.412609,-66.010247 18.411011,-66.008198 18.413536,-66.00728 18.414701,-66.005902 18.416294,-66.00521 18.416742,-66.004523 18.417002,-66.002045 18.417648,-65.999904 18.418193,-65.999041 18.418641,-65.998005 18.419267,-65.996616 18.420234,-65.99572 18.420626,-65.994138 18.421023,-65.992754 18.421338,-65.992802 18.421832,-65.991622 18.422163,-65.991364 18.421364))
5								ROUTE								POLYGON((-65.992641 18.420967,-65.988178 18.421923,-65.989079 18.426952,-65.990216 18.428926,-65.992619 18.429944,-65.999701 18.431695,-66.003606 18.431858,-66.003895 18.429161,-66.005097 18.429222,-66.006374 18.429374,-66.007715 18.429486,-66.00779 18.429863,-66.007822 18.430382,-66.007865 18.430962,-66.008198 18.431685,-66.008906 18.432184,-66.011116 18.432326,-66.012811 18.432346,-66.014667 18.432346,-66.016459 18.432509,-66.017639 18.432774,-66.018927 18.433649,-66.020579 18.435909,-66.021823 18.437965,-66.01588 18.440509,-66.015021 18.440591,-66.01338 18.441558,-66.013476 18.442087,-66.015322 18.442097,-66.017231 18.442433,-66.02015 18.442433,-66.021384 18.442413,-66.028615 18.444214,-66.031951 18.445262,-66.037316 18.449201,-66.039279 18.451898,-66.041404 18.451135,-66.043721 18.449812,-66.044654 18.449344,-66.051703 18.450117,-66.053752 18.45085,-66.054525 18.451043,-66.061542 18.451918,-66.064084 18.452264,-66.065844 18.45028,-66.066455 18.449435,-66.068408 18.446443,-66.074277 18.45084,-66.077485 18.452855,-66.078461 18.453343,-66.080456 18.454687,-66.084705 18.456641,-66.085284 18.456966,-66.086014 18.45778,-66.086175 18.458411,-66.086357 18.46004,-66.086754 18.461068,-66.08758 18.461414,-66.087892 18.461546,-66.088407 18.461892,-66.089029 18.461953,-66.090188 18.46236,-66.0939 18.463825,-66.102429 18.464416,-66.105616 18.465271,-66.106238 18.465362,-66.106774 18.465352,-66.107869 18.465311,-66.108008 18.464049,-66.110242 18.464138,-66.110291 18.465105,-66.111423 18.464863,-66.111173 18.463879,-66.106914 18.463734,-66.106077 18.464843,-66.101667 18.463133,-66.098867 18.462696,-66.094726 18.462645,-66.088728 18.461332,-66.088138 18.461078,-66.087752 18.460508,-66.086851 18.457709,-66.086121 18.457099,-66.085102 18.456407,-66.080617 18.454463,-66.0786 18.453079,-66.068322 18.445659,-66.066133 18.449038,-66.063752 18.451725,-66.054332 18.450585,-66.051928 18.449669,-66.044719 18.448896,-66.039719 18.451135,-66.037895 18.449038,-66.032102 18.444804,-66.021716 18.442056,-66.016695 18.441914,-66.014893 18.441548,-66.016438 18.441079,-66.022081 18.43882,-66.024034 18.438901,-66.024312 18.438189,-66.023497 18.437395,-66.022553 18.437354,-66.019957 18.433731,-66.017832 18.43198,-66.015644 18.431553,-66.015386 18.430616,-66.014807 18.428764,-66.013712 18.428886,-66.013305 18.427196,-66.007704 18.427054,-66.007661 18.428947,-66.003499 18.428601,-66.003155 18.431369,-65.999808 18.431166,-65.991654 18.429008,-65.989766 18.42683,-65.988972 18.422351,-65.991718 18.422086,-65.992748 18.421944,-65.992641 18.420967))
50								ROUTE								POLYGON((-65.992383 18.421109,-65.988577 18.422002,-65.989165 18.42474,-65.989712 18.427196,-65.990109 18.428051,-65.991804 18.429211,-65.99322 18.429741,-65.998166 18.431186,-65.99969 18.431522,-66.003541 18.431705,-66.003745 18.429049,-66.004212 18.429089,-66.004899 18.429135,-66.005414 18.429196,-66.006111 18.429252,-66.006739 18.429313,-66.007865 18.429435,-66.00786 18.429659,-66.007854 18.430016,-66.007854 18.43054,-66.007994 18.431069,-66.008412 18.431685,-66.008938 18.432021,-66.00992 18.432173,-66.010998 18.432214,-66.014378 18.432285,-66.016126 18.432367,-66.017264 18.432601,-66.018744 18.433344,-66.019012 18.433741,-66.018766 18.434209,-66.016201 18.435939,-66.013208 18.436255,-66.00985 18.436581,-66.006631 18.436275,-66.004636 18.436255,-66.004443 18.436601,-66.004443 18.437782,-66.004582 18.438168,-66.005237 18.438922,-66.005644 18.438972,-66.006717 18.438606,-66.00911 18.43771,-66.010086 18.437252,-66.011856 18.436743,-66.014463 18.436611,-66.016212 18.436326,-66.017028 18.435929,-66.017382 18.43596,-66.01912 18.436672,-66.019645 18.436703,-66.020493 18.436224,-66.02074 18.436255,-66.021823 18.437731,-66.021748 18.438148,-66.016126 18.440581,-66.015096 18.440743,-66.013412 18.441466,-66.013369 18.442097,-66.015751 18.442382,-66.015815 18.441894,-66.014753 18.441598,-66.014968 18.441161,-66.01603 18.441008,-66.016513 18.440866,-66.022006 18.438677,-66.02325 18.438901,-66.023679 18.438911,-66.024066 18.438708,-66.024055 18.438087,-66.023647 18.43766,-66.02281 18.43768,-66.021984 18.436815,-66.02015 18.434199,-66.01913 18.433028,-66.018304 18.432357,-66.017274 18.432031,-66.015558 18.431756,-66.015354 18.431135,-66.014764 18.428753,-66.013648 18.428957,-66.01324 18.427216,-66.007865 18.427339,-66.007854 18.4291,-66.003531 18.428794,-66.003198 18.43141,-65.999765 18.431196,-65.998327 18.430921,-65.991954 18.429008,-65.991225 18.428468,-65.990742 18.427878,-65.990356 18.427644,-65.990002 18.427105,-65.989809 18.426728,-65.988771 18.422155,-65.991793 18.421496,-65.991933 18.421903,-65.992577 18.421761,-65.992383 18.421109))
8								ROUTE								POLYGON((-66.110368 18.464182,-66.108072 18.464049,-66.107933 18.465352,-66.106045 18.465362,-66.103159 18.464609,-66.102536 18.464477,-66.100004 18.464283,-66.097472 18.464131,-66.095498 18.463998,-66.093953 18.463937,-66.090488 18.462655,-66.089404 18.462228,-66.088696 18.462014,-66.087741 18.461994,-66.087119 18.461607,-66.086615 18.461159,-66.086486 18.460966,-66.086229 18.459867,-66.086111 18.458411,-66.086153 18.457587,-66.085247 18.456849,-66.083664 18.456157,-66.0819 18.455465,-66.078729 18.453613,-66.074277 18.45086,-66.07514 18.449333,-66.074824 18.449115,-66.075312 18.448364,-66.075669 18.448588,-66.078321 18.443115,-66.083514 18.436947,-66.084201 18.435782,-66.085274 18.4354,-66.091309 18.429018,-66.09641 18.423328,-66.098942 18.418707,-66.102483 18.413984,-66.103663 18.410645,-66.107182 18.408039,-66.105959 18.403987,-66.107182 18.403478,-66.109628 18.408039,-66.105347 18.412874,-66.102354 18.415877,-66.100047 18.4189,-66.098974 18.421333,-66.097097 18.42403,-66.092365 18.429751,-66.089447 18.432428,-66.085993 18.436174,-66.084437 18.437649,-66.080607 18.442016,-66.07874 18.444357,-66.077903 18.445904,-66.076004 18.448733,-66.077672 18.449807,-66.081052 18.451481,-66.083509 18.452107,-66.087677 18.453913,-66.088707 18.456152,-66.088128 18.457068,-66.087065 18.45776,-66.087393 18.459505,-66.087795 18.460798,-66.088675 18.461271,-66.090595 18.46178,-66.094747 18.462523,-66.098942 18.462564,-66.101925 18.463306,-66.104564 18.46468,-66.106034 18.464904,-66.106967 18.463693,-66.107718 18.463724,-66.110723 18.463917,-66.110991 18.465047,-66.110326 18.465138,-66.110368 18.464182))
92								ROUTE								POLYGON((-66.154464 18.400353,-66.154625 18.40135,-66.154046 18.401279,-66.154056 18.400292,-66.154099 18.399314,-66.154158 18.398495,-66.154067 18.397935,-66.154142 18.397314,-66.15419 18.396505,-66.154013 18.395604,-66.153772 18.395033,-66.153531 18.394433,-66.154239 18.393323,-66.154249 18.39258,-66.153981 18.392188,-66.153423 18.392106,-66.152983 18.392392,-66.152747 18.392819,-66.152114 18.392778,-66.151235 18.392106,-66.149851 18.391292,-66.14866 18.39063,-66.147823 18.389958,-66.147372 18.388757,-66.146675 18.387169,-66.144551 18.384522,-66.143639 18.383463,-66.147952 18.382312,-66.15029 18.381406,-66.152501 18.379828,-66.153348 18.3788,-66.154024 18.379237,-66.154958 18.37771,-66.155827 18.375664,-66.156165 18.374788,-66.15728 18.375496,-66.157865 18.37488,-66.159796 18.374238,-66.161491 18.373648,-66.16339 18.372762,-66.16295 18.371866,-66.162596 18.371021,-66.161888 18.369931,-66.163594 18.368363,-66.167017 18.369819,-66.167628 18.37097,-66.167231 18.374778,-66.167489 18.37659,-66.169259 18.376071,-66.170085 18.374554,-66.17075 18.374299,-66.170332 18.373098,-66.167875 18.373077,-66.168143 18.371876,-66.168165 18.370644,-66.167564 18.369381,-66.164989 18.368445,-66.163423 18.36761,-66.161191 18.369962,-66.16265 18.372436,-66.160129 18.373434,-66.157672 18.374289,-66.157178 18.374788,-66.155687 18.374136,-66.154325 18.377456,-66.153745 18.378392,-66.153177 18.377924,-66.15117 18.380011,-66.149421 18.380978,-66.147115 18.381895,-66.144636 18.382465,-66.142222 18.383137,-66.141568 18.386711,-66.144905 18.386354,-66.145956 18.387393,-66.146718 18.38947,-66.147243 18.390651,-66.148037 18.391506,-66.149593 18.391923,-66.151041 18.392697,-66.152361 18.393908,-66.152876 18.395751,-66.153316 18.398032,-66.153262 18.399345,-66.153219 18.400699,-66.153177 18.401758,-66.156288 18.402043,-66.155869 18.400169,-66.154464 18.400353))
45								ROUTE								POLYGON((-66.055394 18.408151,-66.05673 18.408095,-66.05674 18.407728,-66.057604 18.407499,-66.057851 18.407082,-66.057357 18.406512,-66.056515 18.406552,-66.056553 18.407606,-66.052696 18.407749,-66.044096 18.408018,-66.03266 18.408354,-66.031324 18.408512,-66.03046 18.409082,-66.02958 18.409963,-66.027976 18.413164,-66.027397 18.414513,-66.022033 18.433598,-66.021319 18.434484,-66.02104 18.433914,-66.020375 18.433995,-66.020252 18.434479,-66.019903 18.434784,-66.021893 18.438077,-66.018063 18.439873,-66.016293 18.440581,-66.01507 18.440789,-66.014565 18.440891,-66.012495 18.441878,-66.01015 18.442087,-65.996289 18.447685,-65.995527 18.448051,-65.994561 18.44913,-65.993821 18.450748,-65.993805 18.453552,-65.993784 18.455964,-65.993247 18.457282,-65.992126 18.458651,-65.991659 18.458936,-65.991278 18.458936,-65.989084 18.458457,-65.988124 18.458625,-65.987749 18.458656,-65.987411 18.458462,-65.985925 18.457241,-65.983865 18.456091,-65.981038 18.456432,-65.979965 18.457663,-65.979562 18.457724,-65.978511 18.457144,-65.978162 18.457027,-65.976639 18.457048,-65.974177 18.455679,-65.971451 18.454468,-65.969075 18.453526,-65.967857 18.45288,-65.967299 18.452733,-65.965701 18.452763,-65.955841 18.450097,-65.94957 18.449196,-65.94758 18.448708,-65.943905 18.447171,-65.943036 18.446891,-65.942414 18.446799,-65.941067 18.446306,-65.939946 18.446199,-65.939007 18.446255,-65.938525 18.446153,-65.937468 18.445802,-65.932838 18.445156,-65.931481 18.445919,-65.931057 18.445848,-65.927109 18.44457,-65.924196 18.444031,-65.922437 18.444474,-65.920946 18.444407,-65.919524 18.444072,-65.917673 18.444077,-65.916118 18.444255,-65.914653 18.444662,-65.910973 18.446194,-65.910447 18.446245,-65.908795 18.446173,-65.907336 18.446631,-65.905603 18.447568,-65.904557 18.449735,-65.903924 18.450687,-65.902749 18.450468,-65.902208 18.449837,-65.901789 18.449573,-65.899879 18.448957,-65.899107 18.448611,-65.897948 18.448697,-65.891908 18.443736,-65.885487 18.437375,-65.882391 18.430016,-65.882134 18.429675,-65.879672 18.427257,-65.879484 18.427374,-65.881748 18.42968,-65.882145 18.430138,-65.885245 18.437507,-65.891393 18.443685,-65.897669 18.448947,-65.899118 18.448896,-65.899837 18.449252,-65.901864 18.449883,-65.902529 18.450656,-65.904053 18.450926,-65.904536 18.450621,-65.906113 18.447613,-65.907438 18.446809,-65.909004 18.446418,-65.910737 18.446463,-65.914846 18.44486,-65.917539 18.44428,-65.919374 18.44426,-65.92101 18.444611,-65.922431 18.444682,-65.924298 18.444245,-65.927479 18.445008,-65.931133 18.446087,-65.931755 18.446051,-65.932914 18.4454,-65.93735 18.44599,-65.938884 18.446458,-65.940209 18.446443,-65.941137 18.446519,-65.942291 18.446962,-65.943707 18.447323,-65.947199 18.448794,-65.948996 18.449283,-65.955471 18.450254,-65.965068 18.452845,-65.965862 18.453028,-65.967535 18.452967,-65.968651 18.453542,-65.974676 18.456244,-65.976499 18.457241,-65.978205 18.457226,-65.979176 18.457831,-65.979911 18.457933,-65.981129 18.456829,-65.984004 18.456366,-65.987024 18.458452,-65.987754 18.458874,-65.988612 18.458661,-65.989074 18.458645,-65.991332 18.459144,-65.99211 18.458976,-65.992636 18.458427,-65.993918 18.456463,-65.994422 18.450585,-65.995109 18.449435,-65.996514 18.448102,-65.998756 18.447186,-66.010322 18.442514,-66.013627 18.442056,-66.015676 18.442397,-66.015745 18.441817,-66.014742 18.441553,-66.021866 18.438718,-66.022607 18.438504,-66.02339 18.439034,-66.024237 18.438321,-66.023669 18.437497,-66.02265 18.437771,-66.021974 18.436051,-66.022274 18.43428,-66.022467 18.433548,-66.024817 18.425649,-66.027595 18.415612,-66.029495 18.411032,-66.030879 18.409382,-66.03178 18.408894,-66.032788 18.408741,-66.044375 18.408476,-66.052604 18.408181,-66.054664 18.408273,-66.054986 18.410288,-66.055727 18.410187,-66.055394 18.408151))
9								ROUTE								POLYGON((-66.110776 18.463876,-66.106882 18.463591,-66.105916 18.464874,-66.102054 18.463459,-66.099275 18.462747,-66.09479 18.462665,-66.090821 18.461872,-66.088761 18.461414,-66.088364 18.46122,-66.088063 18.461047,-66.087645 18.460396,-66.087237 18.458798,-66.087205 18.457872,-66.087387 18.457607,-66.088171 18.45716,-66.088879 18.456284,-66.087956 18.455694,-66.087741 18.455145,-66.087613 18.454086,-66.087355 18.453781,-66.083568 18.452071,-66.081175 18.451491,-66.077914 18.449954,-66.07594 18.448702,-66.070511 18.444754,-66.069556 18.444041,-66.064621 18.441822,-66.063312 18.440764,-66.060512 18.437507,-66.06034 18.437156,-66.060367 18.436586,-66.060672 18.435415,-66.059128 18.435176,-66.059315 18.437777,-66.058264 18.437904,-66.053903 18.437313,-66.050158 18.435502,-66.045212 18.434738,-66.044225 18.43195,-66.044847 18.431339,-66.045631 18.431237,-66.046832 18.430474,-66.049107 18.427247,-66.048216 18.425954,-66.047723 18.425425,-66.04606 18.424427,-66.044504 18.422249,-66.043195 18.413953,-66.044247 18.40979,-66.044311 18.407204,-66.043839 18.402236,-66.046178 18.401758,-66.046124 18.399752,-66.044011 18.399772,-66.043968 18.400129,-66.043163 18.400119,-66.043249 18.402185,-66.043657 18.407285,-66.043689 18.409688,-66.042788 18.413281,-66.042659 18.414401,-66.042884 18.416274,-66.043989 18.422483,-66.045641 18.42459,-66.04739 18.425669,-66.048012 18.426372,-66.048603 18.427155,-66.04635 18.430351,-66.045384 18.430799,-66.044569 18.431023,-66.043732 18.431858,-66.044923 18.435084,-66.04974 18.435736,-66.053795 18.43766,-66.057862 18.438168,-66.059567 18.438006,-66.059514 18.436245,-66.060136 18.436326,-66.060093 18.436886,-66.060093 18.437415,-66.060265 18.437741,-66.062872 18.440825,-66.064041 18.441853,-66.065061 18.442484,-66.069138 18.444296,-66.070307 18.445018,-66.075757 18.449079,-66.078161 18.450494,-66.080907 18.451776,-66.083332 18.452427,-66.087226 18.454127,-66.087419 18.455002,-66.08758 18.455735,-66.088224 18.456264,-66.087709 18.456966,-66.087183 18.457292,-66.08669 18.457414,-66.086304 18.457892,-66.086143 18.458696,-66.086443 18.460884,-66.087098 18.461678,-66.087784 18.462045,-66.088814 18.461994,-66.090123 18.46236,-66.093932 18.463866,-66.101292 18.464304,-66.10642 18.465444,-66.107933 18.465372,-66.10804 18.464049,-66.110154 18.464131,-66.110218 18.465362,-66.111152 18.465169,-66.110916 18.464365,-66.110776 18.463876))
46								ROUTE								POLYGON((-65.992845 18.421934,-65.992716 18.421313,-65.99424 18.420956,-65.993639 18.418351,-65.993016 18.415409,-65.99145 18.409067,-65.989519 18.406298,-65.989251 18.406512,-65.987963 18.406654,-65.985195 18.406644,-65.984938 18.405911,-65.98438 18.405473,-65.984444 18.404852,-65.98262 18.396952,-65.982567 18.396393,-65.982105 18.394927,-65.982223 18.394153,-65.98144 18.391669,-65.981397 18.391099,-65.979273 18.386884,-65.982406 18.385275,-65.984766 18.384359,-65.984187 18.382384,-65.984208 18.381386,-65.983779 18.380184,-65.984015 18.379512,-65.983865 18.378453,-65.983371 18.3766,-65.981526 18.377232,-65.980603 18.374747,-65.98071 18.373729,-65.983157 18.371265,-65.981612 18.369646,-65.983264 18.367986,-65.984627 18.367172,-65.983339 18.364423,-65.979101 18.366459,-65.978822 18.367192,-65.979831 18.368903,-65.981976 18.371204,-65.980324 18.372833,-65.979766 18.374503,-65.98071 18.377211,-65.978629 18.378026,-65.978028 18.378901,-65.977878 18.381915,-65.976591 18.38275,-65.971226 18.380429,-65.968587 18.380592,-65.962026 18.379894,-65.96385 18.38165,-65.964317 18.384639,-65.959162 18.385346,-65.954559 18.386064,-65.953524 18.385866,-65.953202 18.386344,-65.954446 18.386481,-65.95848 18.385922,-65.964333 18.384985,-65.964955 18.384868,-65.964703 18.383137,-65.96437 18.381243,-65.963287 18.380245,-65.964821 18.38049,-65.968437 18.380968,-65.970872 18.381131,-65.97437 18.38219,-65.976451 18.383565,-65.977202 18.383269,-65.977224 18.382943,-65.978082 18.382445,-65.978372 18.382068,-65.978468 18.379075,-65.978962 18.378525,-65.982878 18.377323,-65.983457 18.378229,-65.983543 18.3794,-65.983318 18.380072,-65.983489 18.381569,-65.983693 18.382363,-65.984026 18.384277,-65.982717 18.384684,-65.98056 18.385418,-65.97864 18.38667,-65.980592 18.390803,-65.981065 18.391373,-65.981558 18.394397,-65.982234 18.396545,-65.982481 18.39794,-65.98409 18.404781,-65.98409 18.405443,-65.984648 18.406115,-65.985023 18.407122,-65.98865 18.407163,-65.989336 18.407031,-65.990463 18.408415,-65.990989 18.409158,-65.992437 18.41494,-65.993725 18.420712,-65.991383 18.421313,-65.9916 18.422198,-65.992845 18.421934))
37								ROUTE								POLYGON((-66.125271 18.438372,-66.124085 18.438845,-66.124268 18.439237,-66.121569 18.440301,-66.118152 18.441492,-66.116881 18.442036,-66.115255 18.443395,-66.114526 18.444051,-66.115416 18.443807,-66.116967 18.442891,-66.11761 18.442346,-66.118571 18.44198,-66.120191 18.441624,-66.1218 18.44142,-66.12445 18.441502,-66.126011 18.441914,-66.127422 18.442596,-66.128785 18.442845,-66.130136 18.44312,-66.131317 18.443665,-66.1321 18.444306,-66.132969 18.444962,-66.13379 18.445797,-66.134691 18.446652,-66.136906 18.449542,-66.138387 18.452323,-66.138934 18.45344,-66.139248 18.453875,-66.139779 18.453977,-66.140495 18.453839,-66.141243 18.453387,-66.142024 18.452524,-66.142356 18.451654,-66.142383 18.450412,-66.143306 18.449227,-66.145731 18.447227,-66.146691 18.447939,-66.148483 18.448265,-66.14977 18.449379,-66.148375 18.450753,-66.147029 18.453191,-66.146659 18.454066,-66.150119 18.454259,-66.152141 18.454066,-66.154373 18.453684,-66.155725 18.453353,-66.157667 18.452417,-66.160617 18.451674,-66.163932 18.450885,-66.166663 18.450799,-66.166588 18.449242,-66.166217 18.446667,-66.166115 18.439914,-66.166137 18.437721,-66.172655 18.437756,-66.172606 18.440581,-66.174688 18.441151,-66.175911 18.442056,-66.175074 18.443787,-66.174613 18.44571,-66.176415 18.446585,-66.178421 18.448031,-66.18031 18.449313,-66.182327 18.450687,-66.18517 18.453018,-66.187477 18.454972,-66.188174 18.454453,-66.188464 18.452285,-66.189032 18.449201,-66.188002 18.448896,-66.187047 18.447583,-66.183958 18.443532,-66.180578 18.44109,-66.180589 18.437049,-66.179001 18.43709,-66.179087 18.434749,-66.172456 18.43483,-66.172435 18.437171,-66.165246 18.436967,-66.165354 18.446046,-66.165783 18.45028,-66.1628 18.450504,-66.158938 18.451399,-66.155333 18.452845,-66.150505 18.453761,-66.147565 18.453679,-66.148574 18.451318,-66.150505 18.449364,-66.148831 18.447959,-66.146771 18.447451,-66.145763 18.446453,-66.142823 18.448896,-66.141643 18.450382,-66.1413 18.452499,-66.14012 18.453435,-66.139283 18.453089,-66.138446 18.451298,-66.137437 18.449527,-66.135914 18.447227,-66.134015 18.445354,-66.13276 18.444061,-66.13011 18.442667,-66.127738 18.442301,-66.125957 18.441364,-66.123458 18.440845,-66.123415 18.439919,-66.125662 18.439222,-66.125271 18.438372))
